Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,0.00079351,7.1298E-07,-0.024761,0,0,0,2.1315,0.001442,-1.0022E-06,-1.1285E-05,0.0017095,2.627E-07,0.0015744,0,0,0,0,0,0,package://110URDF_V2_1/meshes/pelvis_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/pelvis_link.STL,,LZ01-Lite01004-1;LZ01-Lite01002-1;LZ01-Lite01001-1;LZ01-Lite01001-2;LZ01-Lite01003-1;LZ01-Lite01003-2;P8616-80A1-2;P8616-80A1-1;Pitch_Block-2;Pitch_Block-1,pelvis_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.0029138,0.040548,-0.051597,0,0,0,1.0022,0.00092999,-4.2603E-06,7.9001E-06,0.00073793,2.9837E-05,0.00064909,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_pitch_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_pitch_link.STL,,LZ01-Lite01006-2;LZ01-Lite01008-2;LZ01-Lite01009-2;P8616-80A1-10,left_hip_pitch_link,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.075171,-0.0434,-0.5236,0,0,pelvis_link,0,1,0,80,0,-2.181,2.181,,,,,,,,
left_hip_roll_link,0.020837,1.6078E-08,-0.036903,0,0,0,0.10576,7.5792E-05,-2.2244E-11,-1.8243E-05,8.1183E-05,-2.4365E-12,3.3459E-05,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_roll_link.STL,,LZ01-Lite01010-2,left_hip_roll_link,left_hip_roll_axis,left_hip_roll_joint,revolute,0,0.045,-0.06,0.5236,0,0,left_hip_pitch_link,1,0,0,80,0,-0.523,1.57,,,,,,,,
left_hip_yaw_link,-0.0096834,0.0019427,-0.10091,0,0,0,1.4808,0.001054,-4.039E-06,-2.2004E-05,0.0012686,-8.035E-06,0.00093159,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_yaw_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_hip_yaw_link.STL,,LZ01-Lite01011-2;LZ01-Lite01012-2;P5636-36A1-15;LZ01-Lite01015-2;LZ01-Lite01014-2;P8616-80A1-11,left_hip_yaw_link,left_hip_yaw_axis,left_hip_yaw_joint,revolute,0,0,-0.065,0,0,0,left_hip_roll_link,0,0,1,36,0,-1.745,1.745,,,,,,,,
left_knee_link,0.011535,-0.0018044,-0.14314,0,0,0,1.3645,0.0031738,-1.5355E-05,6.9887E-05,0.0030899,0.0002802,0.00055578,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_knee_link.STL,,LZ01-Lite01017-2;P5636-36A1-16;P5636-36A1-17;BP010102-3;BP010102-4;LZ01-Lite01018-2;LZ01-Lite01019-3;GEG8C-B-6;GEG8C-B-5;GEG8C-A-7;GEG8C-B-7;GEG8C-B-8;GEG8C-A-8;GEG8C-A-6;GEG8C-A-5,left_knee_link,left_knee_axis,left_knee_joint,revolute,-0.017,0,-0.145,0,0,0,left_hip_yaw_link,0,1,0,80,0,-0.087,2.443,,,,,,,,
left_ankle_pitch_link,0.00029048,7.5953E-12,-0.016417,0,0,0,0.17728,3.2524E-05,4.5778E-14,1.3069E-06,5.6616E-05,6.289E-15,2.9534E-05,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_ankle_pitch_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_ankle_pitch_link.STL,,BP010106-2;63801-12x21x7-9;63801-12x21x7-8,left_ankle_pitch_link,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.017,0,-0.27,0,0,0,left_knee_link,0,1,0,36,0,-1.047,0.523,,,,,,,,
left_ankle_roll_link,0.02385,-0.0011027,-0.012281,0,0,0,0.2981,8.594E-05,4.4508E-07,7.3124E-08,0.0004182,2.2367E-10,0.00047896,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_ankle_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/left_ankle_roll_link.STL,,LZ01-T01008-2;BP010108-2;BP010186-2;63801-12x21x7-6;63801-12x21x7-7;63801-12x21x7-10,left_ankle_roll_link,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,-0.03,0,0,0,left_ankle_pitch_link,1,0,0,36,0,-0.261,0.261,,,,,,,,
right_hip_pitch_link,-0.0029142,-0.040545,-0.051599,0,0,0,1.0022,0.00092999,4.7239E-06,7.6496E-06,0.0007362,-3.0839E-05,0.00065083,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_pitch_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_pitch_link.STL,,LZ01-Lite01006-1;LZ01-Lite01007-1;LZ01-Lite01009-1;P8616-80A1-3,right_hip_pitch_link,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.075171,-0.0434,0.5236,0,0,pelvis_link,0,1,0,80,0,-2.181,2.181,,,,,,,,
right_hip_roll_link,0.020837,1.6078E-08,-0.036903,0,0,0,0.10576,7.5792E-05,-2.2244E-11,-1.8243E-05,8.1183E-05,-2.4365E-12,3.3459E-05,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_roll_link.STL,,LZ01-Lite01010-1,right_hip_roll_link,right_hip_roll_axis,right_hip_roll_joint,revolute,0,-0.045,-0.06,-0.5236,0,0,right_hip_pitch_link,1,0,0,80,0,-1.57,0.523,,,,,,,,
right_hip_yaw_link,-0.0096884,-0.0019428,-0.10091,0,0,0,1.4808,0.0010555,3.5629E-06,-2.082E-05,0.0012686,8.2568E-06,0.00093005,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_yaw_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://110URDF_V2_1/meshes/right_hip_yaw_link.STL,,LZ01-Lite01011-1;LZ01-Lite01012-1;P5636-36A1-1;LZ01-Lite01013-1;LZ01-Lite01015-1;P8616-80A1-5,right_hip_yaw_link,right_hip_yaw_axis,right_hip_yaw_joint,revolute,0,0,-0.065,0,0,0,right_hip_roll_link,0,0,1,36,0,-1.745,1.745,,,,,,,,
