Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,-5.8492E-06,8.4885E-07,-0.024029,0,0,0,2.3981,0.002725,-3.7963E-06,-2.2293E-06,0.0024552,5.1663E-08,0.002601,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/pelvis_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/pelvis_link.STL,,LZ01-Lite-1/LZ01-Lite01001腰部前后三角板-1;LZ01-Lite-1/LZ01-Lite01001腰部前后三角板-2;LZ01-Lite-1/LZ01-Lite01003大腿Pitch电机固定支架-1;LZ01-Lite-1/LZ01-Lite01003大腿Pitch电机固定支架-2;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-2;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-1;LZ01-Lite-1/LZ01-Lite01002腰部主安装板-1;LZ01-Lite-1/LZ01-Lite01004腰部Yaw电机输出支架-1;LZ01-Lite-1/IMU支架-1;LZ01-Lite-1/大腿Pitch限位块-1;LZ01-Lite-1/大腿Pitch限位块-2;LZ01-Lite-Shell-1/LZ01-LSHELL01040-2;LZ01-Lite-Shell-1/LZ01-LSHELL01040-1,pelvis_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.0027623,0.04103,-0.052472,0,0,0,1.0143,0.0010959,8.6224E-08,-4.6457E-08,0.00089304,3.0866E-05,0.00080591,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_pitch_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_pitch_link.STL,,LZ01-Lite-1/LZ01-Lite01006大腿Pitch电机输出支架-2;LZ01-Lite-1/LZ01-Lite01008左大腿Roll电机前安装板-2;LZ01-Lite-1/LZ01-Lite01009大腿Roll电机后安装板-2;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-10,left_hip_pitch_link,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.075171,-0.0434,-0.5236,0,0,pelvis_link,0,1,0,80,0,-2.181,2.181,,,,,,,,
left_hip_roll_link,0.01872,0.00068656,-0.037436,0,0,0,0.18644,0.00023195,-8.7615E-07,-2.9039E-05,0.00016816,-3.4449E-06,0.00013468,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_roll_link.STL,,LZ01-Lite-1/LZ01-Lite01010大腿Roll电机输出支架-2;LZ01-Lite-Shell-1/LZ01-LSHELL01050-1;LZ01-Lite-Shell-1/LZ01-LSHELL01051-1,left_hip_roll_link,left_hip_roll_axis,left_hip_roll_joint,revolute,0,0.045,-0.06,0.5236,0,0,left_hip_pitch_link,1,0,0,80,0,-0.523,1.57,,,,,,,,
left_hip_yaw_link,-0.009409,0.0023219,-0.099988,0,0,0,1.6983,0.0014193,-2.799E-06,5.5512E-06,0.0017864,-5.6544E-06,0.0013354,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_yaw_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_hip_yaw_link.STL,,LZ01-Lite-1/LZ01-Lite01011大腿Yaw电机安装板-2;LZ01-Lite-1/LZ01-Lite01012大腿Yaw电机安装座-2;LZ01-Lite-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-15;LZ01-Lite-1/LZ01-Lite01015膝关节电机外侧安装板-2;LZ01-Lite-1/LZ01-Lite01014左膝关节电机内侧安装板-2;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-11;LZ01-Lite-Shell-1/LZ01-LSHELL01058-3;LZ01-Lite-Shell-1/LZ01-LSHELL01057-3;LZ01-Lite-Shell-1/LZ01-LSHELL01052-1,left_hip_yaw_link,left_hip_yaw_axis,left_hip_yaw_joint,revolute,0,0,-0.065,0,0,0,left_hip_roll_link,0,0,1,36,0,-1.745,1.745,,,,,,,,
left_knee_link,0.012433,-0.0026256,-0.13804,0,0,0,1.6142,0.0040513,-1.5104E-05,6.8565E-05,0.0038689,0.00027551,0.00079954,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_knee_link.STL,,LZ01-Lite-1/LZ01-Lite01017左小腿骨架-2;LZ01-Lite-1/LZ01-Lite01033-脚踝连杆驱动板-7;LZ01-Lite-1/LZ01-Lite01033-脚踝连杆驱动板-8;LZ01-Lite-1/LZ01-Lite01019小腿短连杆-3;LZ01-Lite-1/GEG8C关节轴承内圈-5;LZ01-Lite-1/GEG8C关节轴承外圈-5;LZ01-Lite-1/GEG8C关节轴承内圈-6;LZ01-Lite-1/GEG8C关节轴承外圈-6;LZ01-Lite-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-17;LZ01-Lite-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-16;LZ01-Lite-1/GEG8C关节轴承内圈-8;LZ01-Lite-1/GEG8C关节轴承外圈-8;LZ01-Lite-1/GEG8C关节轴承内圈-7;LZ01-Lite-1/LZ01-Lite01018小腿长连杆-2;LZ01-Lite-1/GEG8C关节轴承外圈-7;LZ01-Lite-Shell-1/LZ01-LSHELL01053-1;LZ01-Lite-Shell-1/LZ01-LSHELL01055-1;LZ01-Lite-Shell-1/LZ01-LSHELL01054-1,left_knee_link,left_knee_axis,left_knee_joint,revolute,-0.017,0,-0.145,0,0,0,left_hip_yaw_link,0,1,0,80,0,-0.087,2.443,,,,,,,,
left_ankle_pitch_link,0.00032738,7.8877E-12,-0.018502,0,0,0,0.1573,3.1707E-05,2.0522E-14,1.3069E-06,5.5127E-05,6.3147E-15,2.8717E-05,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_ankle_pitch_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_ankle_pitch_link.STL,,LZ01-Lite-1/脚踝转动件BP010106-2,left_ankle_pitch_link,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.017,0,-0.27,0,0,0,left_knee_link,0,1,0,36,0,-1.047,0.523,,,,,,,,
left_ankle_roll_link,0.030665,-0.0013065,-0.013853,0,0,0,0.57338,0.00030248,1.7377E-06,8.0304E-06,0.0012435,-7.171E-08,0.0014857,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_ankle_roll_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/left_ankle_roll_link.STL,,LZ01-Lite-1/LZ01-T01008脚板-2;LZ01-Lite-1/脚板驱动轴BP010108-2;LZ01-Lite-1/深沟球轴承63801-12x21x7-6;LZ01-Lite-1/脚跟固定件BP010186-2;LZ01-Lite-1/深沟球轴承63801-12x21x7-7;LZ01-Lite-1/深沟球轴承63801-12x21x7-10;LZ01-Lite-Shell-1/LZ01-LSHELL01056-1;LZ01-Lite-Shell-1/LZ01-LSHELL01061-1,left_ankle_roll_link,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,-0.03,0,0,0,left_ankle_pitch_link,1,0,0,36,0,-0.261,0.261,,,,,,,,
right_hip_pitch_link,-0.0027627,-0.041034,-0.05247,0,0,0,1.0143,0.0010959,1.5224E-08,-8.7688E-08,0.00089308,-3.0842E-05,0.00080587,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_pitch_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_pitch_link.STL,,LZ01-Lite-1/LZ01-Lite01007右大腿Roll电机前安装板-1;LZ01-Lite-1/LZ01-Lite01006大腿Pitch电机输出支架-1;LZ01-Lite-1/LZ01-Lite01009大腿Roll电机后安装板-1;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-3,right_hip_pitch_link,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.075171,-0.0434,0.5236,0,0,pelvis_link,0,1,0,80,0,-2.181,2.181,,,,,,,,
right_hip_roll_link,0.018712,-0.00068881,-0.037438,0,0,0,0.18641,0.00023192,8.7387E-07,-2.9031E-05,0.00016814,3.4565E-06,0.00013464,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_roll_link.STL,,LZ01-Lite-Shell-1/LZ01-LSHELL01042-1;LZ01-Lite-1/LZ01-Lite01010大腿Roll电机输出支架-1;LZ01-Lite-Shell-1/LZ01-LSHELL01041-1,right_hip_roll_link,right_hip_roll_axis,right_hip_roll_joint,revolute,0,-0.045,-0.06,-0.5236,0,0,right_hip_pitch_link,1,0,0,80,0,-1.57,0.523,,,,,,,,
right_hip_yaw_link,-0.0094067,-0.0023217,-0.099989,0,0,0,1.6983,0.0014193,2.6832E-06,5.5375E-06,0.0017864,5.6891E-06,0.0013355,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_yaw_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://LZ01_Lite_V3/meshes/right_hip_yaw_link.STL,,LZ01-Lite-1/LZ01-Lite01012大腿Yaw电机安装座-1;LZ01-Lite-1/LZ01-Lite01011大腿Yaw电机安装板-1;LZ01-Lite-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-1;LZ01-Lite-1/LZ01-Lite01015膝关节电机外侧安装板-1;LZ01-Lite-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-5;LZ01-Lite-1/LZ01-Lite01013右膝关节电机内侧安装板-1;LZ01-Lite-Shell-1/LZ01-LSHELL01044-1;LZ01-Lite-Shell-1/LZ01-LSHELL01043-3;LZ01-Lite-Shell-1/LZ01-LSHELL01045-1,right_hip_yaw_link,right_hip_yaw_axis,right_hip_yaw_joint,revolute,0,0,-0.065,0,0,0,right_hip_roll_link,0,0,1,36,0,-1.745,1.745,,,,,,,,
